Disease	genes
"Dystonia-parkinsonism, X-linked"	dyt3
"Dystonia, cervical"	"c(\GNAL\"", \""THAP1\"")"""
"Dystonia, cranio-cervical"	GNAL
"Dystonia, dopa-responsive"	"c(\GCH1\"", \""PARK2\"", \""SPR\"", \""TH\"")"""
"Dystonia, dopa-responsive, with short stature"	GCH1
"Dystonia, early-onset"	THAP1
"Dystonia, generalised"	THAP1
"Dystonia, idiopathic isolated"	THAP1
"Dystonia, L-DOPA-responsive"	TH
"Dystonia, paroxysmal exercise-induced"	GCH1
"Dystonia, primary torsion"	"c(\ADCY5\"", \""ANO3\"", \""GNAL\"", \""THAP1\"")"""
"Dystonia, primary, adult-onset"	GNAL
"Dystonia, progressive"	GCH1
"Dystonia, segmental"	TOR1A
Dystroglycanopathy	B3GALNT2
Dystrophinopathy	DMD
"DZ twinning, association with"	GDF9
"Earlier onset in Huntington disease, association with"	ATG7
"Early onset, in Wilson disease"	XIAP
Early repolarization syndrome	"c(\ABCC9\"", \""CACNA1C\"", \""CACNB2\"", \""SCN5A\"")"""
"Earwax type, association with"	ABCC11
"Eating disorders, association with"	CNR2
Ebstein anomaly	MYH7
Eccentric core disease	MYH7
Ectodermal & oculodentodigital dysplasia with skin hyperkeratosis	GJA1
"Ectodermal dyplasia, hair-nail type"	KRT85
Ectodermal dysplasia	"c(\EDA\"", \""EDAR\"", \""EDARADD\"", \""IKBKG\"", \""TP63\"", \""WNT10A\"")"""
Ectodermal dysplasia & neoplastic syndrome	AXIN2
Ectodermal dysplasia syndrome	GRHL2
Ectodermal dysplasia with immune deficiency	IKBKG
Ectodermal dysplasia-syndactyly syndrome	PVRL4
"Ectodermal dysplasia, anhidrotic with immune deficiency"	NFKBIA
"Ectodermal dysplasia, cleft lip / palate"	PVRL1
"Ectodermal dysplasia, hair-nail type"	"c(\HOXC13\"", \""KRT74\"")"""
"Ectodermal dysplasia, hypohidrotic"	"c(\EDA\"", \""EDAR\"", \""IKBKG\"")"""
"Ectodermal dysplasia, hypohidrotic & inability to sweat"	EDA
"Ectodermal dysplasia, with immunodeficiency"	NFKBIA
Ectodermal dysplasia/skin fragility syndrome	PKP1
Ectopia lentis	FBN1
Ectopia lentis & varicose great saphenous vein	FBN1
Ectopia lentis et pupillae	ADAMTSL4
"Ectopia lentis, isolated form"	"c(\ADAMTSL4\"", \""FBN1\"")"""
Ectopia pupillae	PAX6
"Eczema, atopic"	ADRB2
EDMD-related myopathy	TMEM43
EEC syndrome	TP63
EEC syndrome without clefting	TP63
EEM syndrome	CDH3
Ehlers-Danlos syndrome	"c(\COL1A1\"", \""COL3A1\"", \""COL5A1\"", \""COL5A2\"")"""
"Ehlers-Danlos syndrome & heterotopia, periventricular"	FLNA
Ehlers-Danlos syndrome I	COL5A1
Ehlers-Danlos syndrome II	COL5A2
Ehlers-Danlos syndrome III	COL3A1
Ehlers-Danlos syndrome IV	COL3A1
"Ehlers-Danlos syndrome IV, vascular-type"	COL3A1
Ehlers-Danlos syndrome VI	PLOD1
Ehlers-Danlos syndrome VIa	PLOD1
"Ehlers-Danlos syndrome VIa, kyphoscoliotic type"	PLOD1
Ehlers-Danlos syndrome VII	COL1A2
Ehlers-Danlos syndrome VIIc	ADAMTS2
Ehlers-Danlos syndrome with superior mesenteric artery aneurism	COL5A1
Ehlers-Danlos syndrome-like	B3GALT6
"Ehlers-Danlos syndrome, autosomal recessive"	TNXB
"Ehlers-Danlos syndrome, Kosho type"	CHST14
"Ehlers-Danlos syndrome, musculocontractural"	DSE
"Ehlers-Danlos syndrome, progeroid type"	"c(\B3GALT6\"", \""B4GALT7\"")"""
"Ehlers-Danlos syndrome, spondylocheiro dysplastic form"	SLC39A13
"Ehlers-Danlos syndrome, vascular-type"	COL3A1
Ehlers-Danlos syndrome/Osteogenesis imperfecta	COL1A1
Eiken skeletal dysplasia	PTH1R
Electron transfer flavoprotein deficiency	"c(\ETFA\"", \""ETFB\"")"""
Elevated 3-hydroxyisovalerylcarnitine / 3-methylcrotonylglycine levels	"c(\MCCC1\"", \""MCCC2\"")"""
Elevated basal serum calcitonin	RET
Elevated creatine kinase level	DMD
Elevated creatine kinase levels	MYF6
Elevated DNase activity	DNASE1
"Elevated extracellular SOD, association"	SOD3
"Elevated fasting plasma glucose, association in NIDDM"	PON2
Elevated HDL-cholesterol	"c(\GCKR\"", \""RNASEL\"")"""
"Elevated IgE level in atopic dermatitis patients, association"	TBXA2R
Elevated plasma fibrinogen levels	CTSG
"Elevated plasma lipid concentration, association in diabetes"	PPARA
Elevated red cell ATP	PKLR
Elevated SERT activity	ADORA3
Elevated sweat chloride concentration	CFTR
Elevated urinary copper	COMMD1
Elliptical anterior iris stromal defects	PAX6
Elliptocytosis	"c(\EPB41\"", \""SPTA1\"", \""SPTB\"")"""
Ellis-van Creveld syndrome	"c(\EVC\"", \""EVC2\"")"""
Ellis-van Creveld syndrome without lip/nail/dental abnormalities	EVC
EMARDD	MEGF10
Embryonal rhabdomyosarcomas	DICER1
Emery-Dreifuss muscular dystrophy	"c(\SUN1\"", \""SUN2\"")"""
"Emery-Dreifuss muscular dystrophy, modifier of"	"c(\SUN1\"", \""SUN2\"")"""
Empty follicle syndrome	"c(\LHCGR\"", \""orf15\"")"""
Enamel defects	AMELX
Enamel-renal syndrome	FAM20A
Encephalomyopathic mitochondrial DNA depletion & methylmalonic aciduria	SUCLA2
Encephalomyopathy & isolated mitochondrial complex II deficiency	SDHD
Encephalomyopathy & mitochondrial DNA depletion	SUCLA2
Encephalopathy	"c(\CDKL5\"", \""POLG\"", \""RMND1\"")"""
Encephalopathy with early epilepsy	CDKL5
Encephalopathy with refractory epilepsy	CDKL5
"Encephalopathy, acute necrotising"	RANBP2
"Encephalopathy, early-infantile, lethal"	SLC19A3
"Encephalopathy, early-onset"	C10orf2
"Encephalopathy, ethylmalonic"	ETHE1
"Encephalopathy, familial"	PRNP
"Encephalopathy, infantile"	SCO1
"Encephalopathy, influenza-associated"	TLR3
"Encephalopathy, lactic acidosis & OXPHOS defects"	MTFMT
Endocardial cushion defect	TFAP2B
Endocrine-cerebro-osteodysplasia	ICK
Endometrial cancer	"c(\BRCA1\"", \""MLH1\"", \""MLH3\"", \""MSH6\"")"""
"Endometrial cancer risk, association with"	MGMT
"Endometriosis susceptibility and severity, association with"	AHRR
"Endometriosis, association with"	"c(\BRCA1\"", \""HSD17B1\"")"""
Endosteal hyperostosis	LRP5
Endplate acetylcholinesterase deficiency	COLQ
Enhanced 5-HT transport activity	SLC6A4
Enhanced function	CD40
"Enhanced insulin secretion in pregnancy, association"	ABCC8
Enhanced intracellular degradation	CYB5R4
Enhanced metabolic efficiency	UCP2
Enhanced S cone syndrome	NR2E3
"Enhanced S cone syndrome, association with"	NR2E3
Enlarged parietal foramina	MSX2
Enlarged vestibular aqueduct	"c(\FOXI1\"", \""GJB2\"", \""SLC26A4\"")"""
Enlarged vestibular aqueduct & Mondini deformity	SLC26A4
Enlarged vestibular aqueduct & Mondini dysplasia	SLC26A4
Enlarged vestibular aqueduct & vestibular dilatation	SLC26A4
Enterocolitis & autoinflammation	NLRC4
"Enterocolitis, early-onset"	"c(\IL10RA\"", \""IL10RB\"")"""
Enteropeptidase deficiency	TMPRSS15
Eosinophil peroxidase deficiency	EPX
Ependymoma	TP53
"Ephelides, increased risk, association with"	MC1R
Epidermodysplasia verruciformis	"c(\TMC6\"", \""TMC8\"")"""
"Epidermodysplasia verruciformis - human papillomavirus infections, susceptibility to"	STK4
"Epidermodysplasia verruciformis, susceptibility in HIV, association"	TMC8
Epidermolysis bullosa	"c(\COL17A1\"", \""COL7A1\"")"""
Epidermolysis bullosa dystrophica	COL7A1
"Epidermolysis bullosa dystrophica, inversus type"	COL7A1
"Epidermolysis bullosa dystrophica, Pasini type"	COL7A1
Epidermolysis bullosa pruriginosa	COL7A1
Epidermolysis bullosa simplex	"c(\DST\"", \""KRT14\"", \""KRT5\"", \""PLEC\"")"""
"Epidermolysis bullosa simplex, autosomal recessive"	DST
"Epidermolysis bullosa simplex, with verrucous carcinoma"	KRT5
Epidermolysis bullosa with muscular dystrophy	PLEC
Epidermolysis bullosa with muscular dystrophy and diffuse alopecia	PLEC
Epidermolysis bullosa with muscular dystrophy and myasthenic syndrome	PLEC
Epidermolysis bullosa with muscular dystrophy and pyloric atresia	PLEC
Epidermolysis bullosa with pyloric atresia	"c(\ITGA6\"", \""ITGB4\"", \""PLEC\"")"""
"Epidermolysis bullosa, atrophic benign"	COL17A1
"Epidermolysis bullosa, Dowling-Meara"	"c(\KRT14\"", \""KRT5\"")"""
"Epidermolysis bullosa, Herlitz"	"c(\COL17A1\"", \""LAMA3\"", \""LAMB3\"", \""LAMC2\"")"""
"Epidermolysis bullosa, junctional"	"c(\COL17A1\"", \""ITGA6\"", \""ITGB4\"", \""LAMA3\"", \""LAMB3\"", \""LAMC2\"")"""
"Epidermolysis bullosa, junctional, generalised"	COL17A1
"Epidermolysis bullosa, junctional, localised"	COL17A1
"Epidermolysis bullosa, Koebner"	"c(\KRT14\"", \""KRT5\"")"""
"Epidermolysis bullosa, lethal acantholytic"	DSP
"Epidermolysis bullosa, lethal congenital"	JUP
"Epidermolysis bullosa, modifier of"	KRT5
"Epidermolysis bullosa, pretibial"	COL7A1
"Epidermolysis bullosa, recessive dystrophic"	COL7A1
"Epidermolysis bullosa, Weber-Cockayne"	"c(\KRT14\"", \""KRT5\"")"""
"Epidermolysis bullosa, without pyloric atresia"	ITGB4
Epidermolytic bullous dermatosis with cardiomyopathy	DSP
Epidermolytic hyperkeratosis	"c(\KRT1\"", \""KRT10\"")"""
Epidermolytic hyperkeratosis with palmoplantar hyperkeratosis & digit contractures	KRT1
"Epidermolytic hyperkeratosis, association with"	KRT1
Epidermolytic ichthyosis	"c(\KRT1\"", \""KRT10\"")"""
"Epidermolytic ichthyosis, annular"	KRT10
Epilepsy	"c(\FOXG1\"", \""KCNV2\"", \""POLG\"", \""SCN1A\"", \""SCN3A\"", \""SYN1\"", \""SYN2\"", \""TSC2\"")"""
Epilepsy & mental retardation	PCDH19
Epilepsy & pontocerebellar hypoplasia	CASK
Epilepsy and mental retardation limited to females	PCDH19
Epilepsy and myoclonic jerks	POLG
Epilepsy partial and myokymia	KCNA1
Epilepsy with polymicrogyria	FIG4
Epilepsy-aphasia	SCN1A
Epilepsy-aphasia syndrome	GRIN2A
Epilepsy-aphasia with febrile seizures plus	SCN1A
"Epilepsy-related seizure, resistance to"	KCNJ10
"Epilepsy, ataxia, sensorineural deafness and tubulopathy"	KCNJ10
"Epilepsy, benign neonatal"	"c(\KCNQ2\"", \""KCNQ3\"")"""
"Epilepsy, childhood absence"	"c(\CACNA1H\"", \""gabrb3i2\"")"""
"Epilepsy, childhood absence with febrile seizures"	GABRG2
"Epilepsy, childhood absence, association with"	CACNA1H
"Epilepsy, childhood-onset"	GRIN2A
"Epilepsy, choreoathetosis & mental retardation, X-linked"	HSD17B10
"Epilepsy, cryptogenic pediatric partial"	SCN3A
"Epilepsy, early-onset"	"c(\ARX\"", \""CDKL5\"", \""CSNK1G1\"", \""PCDH19\"")"""
"Epilepsy, familial focal with variable foci"	DEPDC5
"Epilepsy, familial temporal lobe"	DEPDC5
"Epilepsy, focal"	"c(\DEPDC5\"", \""SCN3A\"")"""
"Epilepsy, focal idiopathic"	LGI1
"Epilepsy, focal with brain malformations"	DEPDC5
"Epilepsy, generalised, with febrile seizures"	SCN1B
"Epilepsy, idiopathic"	"c(\CACNA1A\"", \""CHRNA2\"", \""CHRNB2\"", \""CLCN2\"", \""GABRA1\"", \""KCNQ3\"", \""SCN1A\"", \""SCN1B\"", \""scn1bb\"", \""SCN2A\"")"""
"Epilepsy, idiopathic generalised"	"c(\CASR\"", \""GABRA1\"", \""GABRG2\"", \""HCN2\"", \""SCN2A\"", \""SLC2A1\"")"""
"Epilepsy, idiopathic generalised, association with"	SLC4A3
"Epilepsy, infantile-onset"	"c(\FARS2\"", \""TNK2\"")"""
"Epilepsy, infantile-onset & abnormal brain morphology"	TUBB2A
"Epilepsy, lateral temporal lobe, autosomal dominant"	LGI1
"Epilepsy, nocturnal frontal lobe"	"c(\CHRNA4\"", \""CHRNB2\"")"""
"Epilepsy, nocturnal frontal lobe & distinct memory deficits"	CHRNB2
"Epilepsy, nocturnal frontal lobe, autosomal dominant"	DEPDC5
"Epilepsy, partial, with auditory features"	LGI1
"Epilepsy, partial, with telephone-induced seizures"	LGI1
"Epilepsy, photosensitive generalised"	NEDD4L
"Epilepsy, progressive myoclonic"	KCTD7
"Epilepsy, progressive myoclonus"	"c(\CLN6\"", \""COL6A2\"", \""CSTB\"", \""EPM2A\"")"""
"Epilepsy, progressive with mental retardation"	CLN8
"Epilepsy, pyridoxine-dependent"	ALDH7A1
"Epilepsy, risk, association with"	GABRD
"Epilepsy, rolandic"	"c(\DEPDC5\"", \""RBFOX3\"")"""
"Epilepsy, rolandic & benign neonatal convulsions"	KCNQ3
"Epilepsy, rolandic without neonatal seizures"	"c(\KCNQ2\"", \""KCNQ3\"")"""
"Epilepsy, susceptibility to"	GABRG2
"Epilepsy, symptomatic, reduced risk"	SCN1A
"Epilepsy, vitamin B6-responsive"	PIGO
"Epilepsy, with nocturnal wandering and ictal fear"	CHRNA2
Epileptic encephalopathy	"c(\ARHGEF15\"", \""CDKL5\"", \""CLCN4\"", \""DNM1\"", \""FASN\"", \""GABBR2\"", \""GNAO1\"", \""GRIN2A\"", \""KCNB1\"", \""KCNH5\"", \""PCDH19\"", \""PNKP\"", \""RYR3\"", \""SCN1A\"", \""SCN2A\"", \""SCN8A\"", \""STXBP1\"")"""
Epileptic encephalopathy & cortical blindness	DOCK7
Epileptic encephalopathy and dysmorphic corpus callosum	SZT2
Epileptic encephalopathy with late onset infantile spasms	STXBP1
"Epileptic encephalopathy, abnormal EEG & developmental delay"	GRIN2A
"Epileptic encephalopathy, atypical rolandic epilepsy, dysphasia"	GRIN2A
"Epileptic encephalopathy, atypical rolandic epilepsy, verbal dyspraxia"	GRIN2A
"Epileptic encephalopathy, benign childhood epilepsy"	GRIN2A
"Epileptic encephalopathy, early infantile"	"c(\ARHGEF9\"", \""CACNA2D2\"", \""HCN1\"", \""STXBP1\"")"""
"Epileptic encephalopathy, early myoclonic"	PNPO
"Epileptic encephalopathy, early onset"	"c(\KCNQ2\"", \""MECP2\"", \""SCN1A\"", \""SCN2A\"", \""SLC35A2\"", \""STXBP1\"")"""
"Epileptic encephalopathy, early-onset"	"c(\CDKL5\"", \""KCNQ2\"", \""PIGA\"", \""SLC13A5\"")"""
"Epileptic encephalopathy, infantile"	SCN8A
"Epileptic encephalopathy, multiple congenital anomalies and movement disorders"	SCN8A
"Epileptic encephalopathy, neonatal"	"c(\KCNQ2\"", \""PNPO\"", \""SLC25A22\"", \""STXBP1\"")"""
"Epileptic encephalopathy, severe infantile"	NECAP1
Epilepticus of slow-wave sleep	SERPINI1
Epiphyseal dysplasia of the femoral head	COL2A1
Episodic ataxia	"c(\CACNA1A\"", \""KCNA1\"", \""UBR4\"")"""
Episodic ataxia  6	SLC1A3
Episodic ataxia / myokymia	KCNA1
Episodic ataxia 1	KCNA1
Episodic ataxia 2	CACNA1A
Episodic ataxia with cerebellar dysfunction & cognitive delay	KCNA1
"Episodic ataxia, exercise-induced"	DARS2
Episodic ataxia/hemiplegia/seizures	SLC1A3
Episodic jaundice	ABCC2
"Episodic laryngospasm, severe neonatal"	SCN4A
Episodic pain syndrome	"c(\SCN11A\"", \""TRPA1\"")"""
"Episodic seizures, ataxia, and migraine with motor regression"	CACNA1A
Epistaxis and telangiectasia	GDF2
"Epistaxis, recurrent"	FGG
Epithelial inflammation	EGFR
Epoxide hydrolase deficiency	EPHX1
"Epoxide hydrolase deficiency, association with"	EPHX1
Epstein syndrome	MYH9
Epstein/Fechtner syndrome	MYH9
"Erythermalgia, primary"	SCN9A
Erythrocyte band 3 deficiency	SLC4A1
Erythrocyte lactate transport deficiency	SLC16A1
"Erythrocyte sedimentation rate, association with"	CR1
Erythrocytosis	"c(\BPGM\"", \""EGLN1\"", \""EPAS1\"", \""EPOR\"", \""HBA2\"", \""HBB\"", \""VHL\"")"""
Erythrocytosis & pulmonary arterial hypertension	VHL
Erythrocytosis and paraganglioma	EGLN1
"Erythrocytosis, familial, 3"	EGLN1
"Erythrocytosis, idiopathic"	SH2B3
Erythrokeratodermia variabilis	"c(\GJB3\"", \""GJB4\"")"""
Erythromelalgia	SCN9A
"Erythromelalgia, late-onset"	SCN9A
"Esential hypertension, association with"	ALOX12
Essential fructosuria	KHK
"Essential hypertension in Han Chinese, association with"	RNLS
"Essential hypertension, association with"	"c(\CLCNKB\"", \""CYP4A11\"", \""GNAS\"", \""GRK4\"", \""KLK1\"", \""KYNU\"", \""NPR1\"", \""WNK4\"")"""
"Essential hypertension, protection in low risk individials"	GNB3
"Essential hypertension, reduced risk, association with"	BLVRA
Essential tremor	"c(\EWSR1\"", \""FUS\"")"""
"Essential tremor, association with"	HS1BP3
"Ethylmalonic aciduria, association with"	ACADS
Euthyroid hyperthyroxinaemia	TTR
Ewing sarcoma	PTPRD
Excessive daytime sleepiness	HCRTR2
Exertional myalgia and/or rhabdomyolysis	RYR1
"Exertional myalgia, muscle stiffness & myoglobinuria"	DMD
"Exfoliation glaucoma, association with"	LOXL1
Exfoliative ichthyosis	CSTA
Exocrine pancreatic insufficiency and calvarial hyperostosis	COX4I2
"Expression of allergic symptoms, association with"	RNASE3
Extraadrenal paraganglial tumours	TMEM127
Exudative vitreoretinopathy	"c(\FZD4\"", \""LRP5\"", \""NDP\"", \""TSPAN12\"", \""ZNF408\"")"""
Eye / skeletal anomalies	BMP7
Eye development defects	ATOH7
"Eye developmental anomalies, autosomal dominant"	FOXE3
"Eye developmental anomalies, autosomal recessive"	FOXE3
"Eye malformations, increased risk"	FOXE3
Ezetimibe non-response	NPC1L1
Fabry disease	GLA
"Fabry disease, atypical variant"	GLA
"Facial dysmorphism, hypotonia, speech impairment, constipation and intellectual disability"	NALCN
"Facial dysmorphism, lens dislocation, anterior-segment abnormalities & Traboulsi syndrome"	ASPH
"Facial, umbilical, coccygeal & auditory anomalies"	MASP1
Facioaudiosymphalangism syndrome	NOG
Facioscapulohumeral muscular dystrophy 2	SMCHD1
"Facioscapulohumeral muscular dystrophy, modifier of severity"	SMCHD1
Facioscapulohumeral-like muscular dystrophy	SMCHD1
Factor B deficiency	CFB
Factor D deficiency	CFD
Factor H deficiency	CFH
"Factor V and factor VIII deficiency, combined"	LMAN1
"Factor V and Factor VIII deficiency, combined"	MCFD2
Factor V deficiency	F5
Factor VII deficiency	F7
"Factor VII deficiency, association with"	F7
Factor X deficiency	F10
"Factor X deficiency, Riyadh type"	F10
Factor XI deficiency	F11
Factor XII deficiency	F12
Factor XIII deficiency	"c(\F13A1\"", \""F13B\"")"""
Factor XIII-A type II deficiency	F13A1
FADD deficiency	FADD
"Failure to thrive, hearing loss, hepatomegaly & pericardial effusion"	PMM2
"Failure to thrive, lactic acidosis, mitochondrial myopathy & hepatopathy"	EARS2
"Fair hair, association with"	MC1R
Fallopian tube cancer	BRCA2
Fallopian tube carcinoma	BRCA2
Familial adenomatous polyposis	TP53
Familial advanced sleep phase syndrome	"c(\CSNK1D\"", \""PER2\"")"""
Familial British dementia	ITM2B
Familial cold autoinflammatory syndrome	"c(\NLRC4\"", \""NLRP3\"")"""
"Familial colorectal cancer, type X"	SEMA4A
"Familial colorectal cancer, type X, increased risk"	SEMA4A
Fanconi anaemia	"c(\BRCA2\"", \""BRIP1\"", \""ERCC4\"", \""FANCA\"", \""FANCB\"", \""FANCC\"", \""FANCD2\"", \""FANCE\"", \""FANCF\"", \""FANCG\"", \""FANCI\"", \""FANCM\"", \""SLX4\"", \""XRCC2\"")"""
Fanconi anaemia A	FANCA
Fanconi anaemia D1	BRCA2
Fanconi anaemia-like disorder	RAD51C
"Fanconi anaemia, N type"	PALB2
"Fanconi syndrome, renal"	EHHADH
Fanconi-Bickel syndrome	SLC2A2
Farber disease	ASAH1
Fast channel myasthenic syndrome	"c(\CHRNA1\"", \""CHRND\"", \""CHRNE\"")"""
"Faster cognitive decline in alzheimer disease, association with"	PNP
"Fasting HDL cholesterol, association with"	CD300LG
"Fasting insulin levels, association with"	COBLL1
"Fasting plasma glucose level, association with"	G6PC2
"Fasting plasma glucose levels, association with"	ATF6
"Fasting proinsulin concentration, association with"	KANK1
"Fasting proinsulin levels, association with"	STARD10
Fatal infantile encephalopathy and/or pulmonary hypertension	NFU1
Fatal surfactant deficiency	ABCA3
"Fatigue, muscle complaints & dysarthria"	POLG
Febrile and afebrile seizures	"c(\GPR98\"", \""SCN2A\"")"""
Febrile seizures	"c(\CPA6\"", \""GABRG2\"", \""HCN2\"", \""SCN1A\"", \""SCN9A\"", \""SEZ6\"", \""SLC12A5\"")"""
Febrile seizures plus	SCN1A
Fechtner syndrome	MYH9
Feingold syndrome	MYCN
Female infertility	LIF
"Femoral neck width, association with"	TRPS1
"Fentanyl-induced emesis, association with"	mor1x
Fertility defects	NBN
Fetal akinesia	"c(\ACTA1\"", \""MACF1\"")"""
Fetal akinesia deformation sequence disorder	"c(\CHRNA1\"", \""CHRND\"", \""RAPSN\"")"""
Fetal encasement malformation	CHUK
Fetal/neonatal alloimmune thrombocytopenia	ITGA2
Fetomaternal alloimmunisation	MME
FG syndrome	FLNA
FG syndrome 1	MED12
"Fibre lipid storage myopathy, type 2"	MTO1
"Fibre type disproportion, congenital"	"c(\ACTA1\"", \""RYR1\"")"""
"Fibre-type disproportion myopathy, congenital"	TPM3
Fibrillinopathy	FBN1
"Fibrillinopathy, type 1"	FBN1
Fibrinogen variant	"c(\FGA\"", \""FGB\"", \""FGG\"")"""
Fibrochondrogenesis	COL11A1
Fibrodysplasia ossificans progressiva	"c(\ACVR1\"", \""NOG\"")"""
"Fibromatosis, hyaline & hyalinosis, systemic"	ANTXR2
Fibromyalgia syndrome	C11orf40
"Fibrosing poikiloderma with tendon contracture, myopathy, and pulmonary fibrosis"	FAM111B
Fibrosis of extraocular muscles type 2	PHOX2A
Fibrosis progression in hepatitis C infection	KRT8
"Fibrosis risk, association with"	DDX5
Fish eye disease	LCAT
FJHN/MCKD syndrome	UMOD
Fleck corneal dystrophy	PIKFYVE
Floating-Harbor syndrome	SRCAP
Fluindione resistance	VKORC1
FMO1 variant	FMO1
FMO2 variant	FMO2
FMO3 variant	FMO3
FMO4 variant	FMO4
FMO5 variant	FMO5
fmo6 variant	FMO6P
Focal and secondary glomerulosclerosis	CFH
Focal and segmental glomerulosclerosis	PODXL
Focal dermal hypoplasia	PORCN
"Focal dystonia, late onset"	TOR1A
Focal epilepsy	"c(\PCDH19\"", \""SCN5A\"")"""
Focal epilepsy & intellectual disability	GRIN2B
"Focal epilepsy, dysarthria & intellectual disability"	TBC1D24
Focal facial dermal dysplasia IV	CYP26C1
Focal palmoplantar keratoderma	"c(\GJB2\"", \""KRT6C\"")"""
Focal segmental glomerulosclerosis	"c(\ACTN4\"", \""ANLN\"", \""ARHGAP24\"", \""CAPN12\"", \""COL4A3\"", \""INF2\"", \""LAMA5\"", \""LMX1B\"", \""NPHS1\"", \""NPHS2\"", \""PAX2\"", \""TRPC6\"", \""WT1\"")"""
Focal segmental glomerulosclerosis with progressive heart block	NXF5
"Focal segmental glomerulosclerosis, association with"	NPHS2
"Focal segmental glomerulosclerosis, childhood familial"	MYO1E
Focal seizures with secondary generalization	PCDH19
"Foetal growth restriction, lower risk, association"	LRP8
Foetal hyperechogenic bowel	CFTR
Foetal hyperthyroidism	TPO
"Folate malabsorption, hereditary"	SLC46A1
"Follicle number, association with"	AMH
Follicle-stimulating hormone deficiency	FSHB
"Follicular lymphoma, association with"	C6orf15
Follicular thyroid cancer	TPR
Foramina parietalia permagna	"c(\ALX4\"", \""MSX2\"")"""
Forebrain defects	TDGF1
Foveal dystrophy	PRPH2
Foveal hypoplasia	PAX6
Foveal hypoplasia and optic nerve misrouting without albinism	SLC38A8
Foveal hypoplasia with secondary nystagmus	SLC38A8
Foveamacular dystrophy	PRPH2
